City,State,Population2019,Population2020,DensityKm2
New York,New York,8601186,8175133,"11,056"
Los Angeles,California,4057841,3792621," 3,343 "
Chicago,Illinois,2679044,2695598,"4,550"
Houston,Texas,2359480,2099451,"1,431"
Phoenix,Arizona,1711356,1445632,"1,276"
Philadelphia,Pennsylvania,1576596,1526006,"4,537"
San Antonio,Texas,1565929,1327407,"1,312"
San Diego,California,1453775,1307402,"1,728"
Dallas,Texas,1379735,1197816,"1,567"
San Jose,California,1033519,945942,"2,248"
Austin,Texas,1001104,790390,"1,205"
Jacksonville,Florida,920984,821784,476
Fort Worth,Texas,913939,741206,"1,023"
San Francisco,California,897536,805235,"7,388"
Columbus,Ohio,890228,787033,"1,572"
Charlotte,North Carolina,889019,731424,"1,121"
Indianapolis,Indiana,863771,820445,923
Seattle,Washington,766893,608660,"3,532"
Denver,Colorado,732144,600158,"1,844"
